genome,completeness,contamination,strain_heterogeneity,length,N50,centrality
chicken1_D12_metabat2.77.fa.contigs.fa,40.86,0.0,0.0,1554092,16986,0.0
chicken1_D13_maxbin.002.fasta.contigs.fa,85.75,3.29,0.0,2065248,84100,0.998634564
chicken1_D13_maxbin.003.fasta.contigs.fa,100.0,0.0,0.0,4003367,239002,0.9999164904761902
chicken1_D13_maxbin.005.fasta.contigs.fa,94.54,4.51,25.0,4042261,67850,0.997248992631579
chicken1_D13_maxbin.006.fasta.contigs.fa,60.35,0.82,66.67,2654338,22858,0.0
chicken1_D13_maxbin.007.fasta.contigs.fa,85.85,1.49,0.0,3653087,35214,0.9862020228571431
chicken1_D13_maxbin.010.fasta.contigs.fa,74.65,1.57,0.0,2173294,76439,0.9997999200000001
chicken1_D13_maxbin.011.fasta.contigs.fa,86.58,2.68,0.0,3012449,64140,0.9968605223076923
chicken1_D13_maxbin.012.fasta.contigs.fa,96.64,4.25,0.0,2371882,104194,0.999090045
chicken1_D13_maxbin.013.fasta.contigs.fa,81.43,6.76,0.0,3072355,42867,0.9996761795238097
chicken1_D13_maxbin.014.fasta.contigs.fa,94.3,0.0,0.0,2690336,39414,0.9955411346341463
chicken1_D13_maxbin.015.fasta.contigs.fa,94.34,1.08,0.0,2786733,44258,0.9972256757894737
chicken1_D13_maxbin.016.fasta_sub.contigs.fa,72.99,21.21,31.82,2264880,53965,0.0
chicken1_D13_maxbin.018.fasta.contigs.fa,77.34,2.24,0.0,1497058,60117,0.9999239264
chicken1_D13_maxbin.021.fasta.contigs.fa,5.38,0.69,33.33,553581,40667,0.0
chicken1_D13_maxbin.022.fasta.contigs.fa,87.75,1.34,0.0,2783301,56781,0.9994064870000001
chicken1_D13_maxbin.025.fasta.contigs.fa,69.49,1.75,20.0,2278011,30248,0.0
chicken1_D13_maxbin.026.fasta.contigs.fa,96.08,0.34,0.0,4311515,51994,0.9995588669230769
chicken1_D13_maxbin.027.fasta.contigs.fa,98.08,0.14,0.0,3867640,109696,0.9999010547619048
chicken1_D13_maxbin.028.fasta.contigs.fa,80.06,0.63,0.0,2418506,76378,0.9984335263157895
chicken1_D13_maxbin.029.fasta.contigs.fa,76.29,4.59,45.45,1756648,11193,0.9918061680000001
chicken1_D13_maxbin.030.fasta.contigs.fa,91.96,2.8,0.0,1976744,122940,0.9998958786956521
chicken1_D13_maxbin.031.fasta.contigs.fa,96.2,29.43,1.96,4411733,74589,0.0
