genome,completeness,contamination,strain_heterogeneity,length,N50
chicken1_D11_maxbin.010.fasta.contigs.fa,92.95,0.94,0.0,2551317,120561
chicken1_D11_maxbin.011.fasta.contigs.fa,85.13,0.47,33.33,3077633,69160
chicken1_D11_maxbin.012.fasta.contigs.fa,37.7,5.37,0.0,1266057,36706
chicken1_D11_maxbin.013.fasta.contigs.fa,28.19,2.62,12.5,878603,22335
chicken1_D11_maxbin.014.fasta.contigs.fa,78.52,2.68,0.0,2245476,91487
chicken1_D11_maxbin.017.fasta.contigs.fa,59.13,2.35,25.0,1668483,24091
chicken1_D11_maxbin.018.fasta.contigs.fa,78.69,2.13,66.67,1761727,21348
chicken1_D11_maxbin.019.fasta_sub.contigs.fa,89.01,1.7,0.0,2213739,50809
chicken1_D11_maxbin.021.fasta.contigs.fa,88.11,0.9,0.0,1855849,286531
chicken1_D11_maxbin.022.fasta.contigs.fa,97.38,0.0,0.0,2966835,257716
chicken1_D11_maxbin.023.fasta.contigs.fa,84.21,1.61,0.0,3189797,60432
chicken1_D11_maxbin.024.fasta_sub.contigs.fa,69.39,8.13,92.86,2546786,44697
chicken1_D11_maxbin.025.fasta.contigs.fa,68.82,5.72,66.67,2143046,15023
chicken1_D11_maxbin.026.fasta.contigs.fa,87.62,11.01,20.59,2252784,19630
chicken1_D11_maxbin.030.fasta.contigs.fa,92.37,10.43,37.04,3393934,6304
chicken1_D11_maxbin.032.fasta.contigs.fa,84.78,18.71,10.42,3876894,13217
chicken1_D11_maxbin.034.fasta_sub.contigs.fa,77.59,14.34,17.24,4524309,2943
chicken1_D11_maxbin.036.fasta_sub.contigs.fa,79.71,15.7,32.79,2910913,6296
chicken1_D11_maxbin.045.fasta.contigs.fa,57.95,3.85,0.0,1837821,2424
chicken1_D11_metabat2.33.fa.contigs.fa,57.5,0.06,100.0,1375380,28099
chicken1_D11_metabat2.34.fa.contigs.fa,26.42,0.0,0.0,532951,20705
chicken1_D11_metabat2.37.fa_sub.contigs.fa,87.0,1.91,0.0,3069801,20221
chicken1_D11_metabat2.60.fa.contigs.fa,74.55,1.93,11.11,1957855,29181
chicken1_D12_maxbin.001.fasta.contigs.fa,100.0,0.0,0.0,4023392,219558
chicken1_D12_maxbin.002.fasta.contigs.fa,93.96,0.0,0.0,2488954,38842
chicken1_D12_maxbin.004.fasta.contigs.fa,89.8,0.12,0.0,2620821,115728
chicken1_D12_maxbin.005.fasta.contigs.fa,95.29,0.0,0.0,2042191,76902
chicken1_D12_maxbin.006.fasta.contigs.fa,98.55,2.39,8.57,5508152,44538
chicken1_D12_maxbin.007.fasta.contigs.fa,99.63,3.37,5.88,3192996,29345
chicken1_D12_maxbin.008.fasta_sub.contigs.fa,96.3,2.78,30.77,3831224,81374
chicken1_D12_maxbin.009.fasta.contigs.fa,97.59,1.5,0.0,4693598,57599
chicken1_D12_maxbin.014.fasta.contigs.fa,95.28,0.13,0.0,2550026,40933
chicken1_D12_maxbin.016.fasta.contigs.fa,94.94,3.16,0.0,3772938,71031
chicken1_D12_maxbin.017.fasta.contigs.fa,90.94,0.69,0.0,2498923,118010
chicken1_D12_maxbin.018.fasta.contigs.fa,76.0,6.82,0.0,1815193,60555
chicken1_D12_maxbin.019.fasta.contigs.fa,98.08,1.48,0.0,3947981,112853
chicken1_D12_maxbin.020.fasta.contigs.fa,69.73,2.91,0.0,1736128,76947
chicken1_D12_maxbin.021.fasta.contigs.fa,81.38,0.0,0.0,2412877,125051
chicken1_D12_maxbin.022.fasta.contigs.fa,91.08,9.77,0.0,4189613,43806
chicken1_D12_maxbin.023.fasta.contigs.fa,96.55,17.26,7.69,2835262,52927
